/home/lfz/.conda/envs/champ/lib/python3.10/site-packages/albumentations/__init__.py:13: UserWarning: A new version of Albumentations is available: 1.4.16 (you have 1.4.14). Upgrade using: pip install -U albumentations. To disable automatic update checks, set the environment variable NO_ALBUMENTATIONS_UPDATE to 1.
  check_for_updates()
/home/lfz/workspace/Locate-and-Verify/train_cls.py:61: UserWarning: You have chosen to seed training. This will turn on the CUDNN deterministic setting, which can slow down your training considerably! You may see unexpected behavior when restarting from checkpoints.
  warnings.warn('You have chosen to seed training. '
/home/lfz/workspace/Locate-and-Verify/train_cls.py:68: UserWarning: You have chosen a specific GPU. This will completely disable data parallelism.
  warnings.warn('You have chosen a specific GPU. This will completely disable data parallelism.')
/home/lfz/.conda/envs/champ/lib/python3.10/site-packages/pydantic/main.py:193: UserWarning: blur_limit and sigma_limit minimum value can not be both equal to 0. blur_limit minimum value changed to 3.
  self.__pydantic_validator__.validate_python(data, self_instance=self)
Use GPU: 0 for training
Creating model: LVNet
Using dropout 0.5
Using dropout 0.5
Total number of data: 34111 | real: 24831, fake: 9280
Total number of data: 20887 | real: 17815, fake: 3072
Epoch: [0][ 660/2131]	Time  0.434 ( 0.445)	Data  0.006 ( 0.006)	Loss 0.00001 (0.00795)	Acc@1 100.00 ( 99.75)
Epoch: [0][ 680/2131]	Time  0.435 ( 0.445)	Data  0.006 ( 0.006)	Loss 0.00001 (0.00772)	Acc@1 100.00 ( 99.76)
Epoch: [0][ 700/2131]	Time  0.435 ( 0.445)	Data  0.006 ( 0.006)	Loss 0.00002 (0.00750)	Acc@1 100.00 ( 99.77)
Epoch: [0][ 720/2131]	Time  0.434 ( 0.444)	Data  0.007 ( 0.006)	Loss 0.00002 (0.00729)	Acc@1 100.00 ( 99.77)
Epoch: [0][ 740/2131]	Time  0.435 ( 0.444)	Data  0.006 ( 0.006)	Loss 0.00000 (0.00710)	Acc@1 100.00 ( 99.78)
Epoch: [0][ 760/2131]	Time  0.434 ( 0.444)	Data  0.006 ( 0.006)	Loss 0.00003 (0.00691)	Acc@1 100.00 ( 99.79)
Epoch: [0][ 780/2131]	Time  0.435 ( 0.444)	Data  0.006 ( 0.006)	Loss 0.00001 (0.00674)	Acc@1 100.00 ( 99.79)
Epoch: [0][ 800/2131]	Time  0.434 ( 0.443)	Data  0.005 ( 0.006)	Loss 0.00009 (0.00657)	Acc@1 100.00 ( 99.80)
Epoch: [0][ 820/2131]	Time  0.439 ( 0.443)	Data  0.007 ( 0.006)	Loss 0.00002 (0.00641)	Acc@1 100.00 ( 99.80)
Epoch: [0][ 840/2131]	Time  0.437 ( 0.443)	Data  0.008 ( 0.006)	Loss 0.00003 (0.00626)	Acc@1 100.00 ( 99.81)
Epoch: [0][ 860/2131]	Time  0.435 ( 0.443)	Data  0.006 ( 0.006)	Loss 0.00016 (0.00611)	Acc@1 100.00 ( 99.81)
Epoch: [0][ 880/2131]	Time  0.433 ( 0.443)	Data  0.005 ( 0.006)	Loss 0.00005 (0.00598)	Acc@1 100.00 ( 99.82)
Epoch: [0][ 900/2131]	Time  0.435 ( 0.442)	Data  0.007 ( 0.006)	Loss 0.00001 (0.00585)	Acc@1 100.00 ( 99.82)
Epoch: [0][ 920/2131]	Time  0.435 ( 0.442)	Data  0.006 ( 0.006)	Loss 0.00001 (0.00572)	Acc@1 100.00 ( 99.82)
Epoch: [0][ 940/2131]	Time  0.436 ( 0.442)	Data  0.007 ( 0.006)	Loss 0.00001 (0.00560)	Acc@1 100.00 ( 99.83)
Epoch: [0][ 960/2131]	Time  0.438 ( 0.442)	Data  0.008 ( 0.006)	Loss 0.00002 (0.00548)	Acc@1 100.00 ( 99.83)
Epoch: [0][ 980/2131]	Time  0.437 ( 0.442)	Data  0.008 ( 0.006)	Loss 0.00002 (0.00537)	Acc@1 100.00 ( 99.83)
Epoch: [0][1000/2131]	Time  0.435 ( 0.442)	Data  0.005 ( 0.006)	Loss 0.00004 (0.00526)	Acc@1 100.00 ( 99.84)
Epoch: [0][1020/2131]	Time  0.438 ( 0.442)	Data  0.008 ( 0.006)	Loss 0.00001 (0.00516)	Acc@1 100.00 ( 99.84)
Epoch: [0][1040/2131]	Time  0.434 ( 0.442)	Data  0.005 ( 0.006)	Loss 0.00002 (0.00506)	Acc@1 100.00 ( 99.84)
Epoch: [0][1060/2131]	Time  0.434 ( 0.441)	Data  0.006 ( 0.006)	Loss 0.00000 (0.00497)	Acc@1 100.00 ( 99.85)
Epoch: [0][1080/2131]	Time  0.435 ( 0.441)	Data  0.006 ( 0.006)	Loss 0.00000 (0.00488)	Acc@1 100.00 ( 99.85)
Epoch: [0][1100/2131]	Time  0.436 ( 0.441)	Data  0.008 ( 0.006)	Loss 0.00000 (0.00479)	Acc@1 100.00 ( 99.85)
Epoch: [0][1120/2131]	Time  0.436 ( 0.441)	Data  0.007 ( 0.006)	Loss 0.00000 (0.00470)	Acc@1 100.00 ( 99.86)
Epoch: [0][1140/2131]	Time  0.439 ( 0.441)	Data  0.008 ( 0.006)	Loss 0.00001 (0.00462)	Acc@1 100.00 ( 99.86)
Epoch: [0][1160/2131]	Time  0.436 ( 0.441)	Data  0.007 ( 0.006)	Loss 0.00000 (0.00454)	Acc@1 100.00 ( 99.86)
Epoch: [0][1180/2131]	Time  0.435 ( 0.441)	Data  0.006 ( 0.006)	Loss 0.00018 (0.00447)	Acc@1 100.00 ( 99.86)
Epoch: [0][1200/2131]	Time  0.434 ( 0.441)	Data  0.005 ( 0.006)	Loss 0.00001 (0.00439)	Acc@1 100.00 ( 99.86)
Epoch: [0][1220/2131]	Time  0.436 ( 0.441)	Data  0.007 ( 0.006)	Loss 0.00001 (0.00432)	Acc@1 100.00 ( 99.87)
Epoch: [0][1240/2131]	Time  0.437 ( 0.441)	Data  0.006 ( 0.006)	Loss 0.00000 (0.00425)	Acc@1 100.00 ( 99.87)
Epoch: [0][1260/2131]	Time  0.438 ( 0.440)	Data  0.007 ( 0.006)	Loss 0.00093 (0.00532)	Acc@1 100.00 ( 99.84)
Epoch: [0][1280/2131]	Time  0.435 ( 0.440)	Data  0.008 ( 0.006)	Loss 0.00034 (0.00594)	Acc@1 100.00 ( 99.82)
Epoch: [0][1300/2131]	Time  0.432 ( 0.440)	Data  0.006 ( 0.006)	Loss 0.01993 (0.00594)	Acc@1 100.00 ( 99.82)
